"Game","Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type","Round.Number"
14766,2015-08-30,"R22","Adelaide",19,12,126,"West Coast",10,9,69,"Adelaide Oval",57,2015,"Regular",22
14767,2015-08-30,"R22","St Kilda",4,14,38,"Sydney",20,15,135,"Docklands",-97,2015,"Regular",22
14768,2015-08-30,"R22","Fremantle",17,6,108,"Melbourne",8,6,54,"Subiaco",54,2015,"Regular",22
14769,2015-09-04,"R23","Richmond",16,12,108,"North Melbourne",10,7,67,"Docklands",41,2015,"Regular",23
14770,2015-09-05,"R23","Geelong",17,17,119,"Adelaide",11,14,80,"Kardinia Park",39,2015,"Regular",23
14771,2015-09-05,"R23","Brisbane Lions",19,16,130,"Footscray",19,8,122,"Gabba",8,2015,"Regular",23
14772,2015-09-05,"R23","Port Adelaide",18,14,122,"Fremantle",8,5,53,"Adelaide Oval",69,2015,"Regular",23
14773,2015-09-05,"R23","Hawthorn",17,11,113,"Carlton",8,8,56,"M.C.G.",57,2015,"Regular",23
14774,2015-09-05,"R23","Sydney",19,13,127,"Gold Coast",9,10,64,"S.C.G.",63,2015,"Regular",23
14775,2015-09-05,"R23","West Coast",18,17,125,"St Kilda",4,6,30,"Subiaco",95,2015,"Regular",23
14776,2015-09-06,"R23","Melbourne",15,13,103,"GWS",11,11,77,"Docklands",26,2015,"Regular",23
14777,2015-09-06,"R23","Collingwood",14,8,92,"Essendon",14,11,95,"M.C.G.",-3,2015,"Regular",23
14778,2015-09-11,"QF","West Coast",14,12,96,"Hawthorn",9,10,64,"Subiaco",32,2015,"Finals",24
14779,2015-09-12,"QF","Fremantle",10,9,69,"Sydney",7,18,60,"Subiaco",9,2015,"Finals",24
14780,2015-09-12,"EF","Footscray",14,18,102,"Adelaide",16,13,109,"M.C.G.",-7,2015,"Finals",24
14781,2015-09-13,"EF","Richmond",14,4,88,"North Melbourne",15,15,105,"M.C.G.",-17,2015,"Finals",24
14782,2015-09-18,"SF","Hawthorn",21,9,135,"Adelaide",8,13,61,"M.C.G.",74,2015,"Finals",25
14783,2015-09-19,"SF","Sydney",7,9,51,"North Melbourne",11,11,77,"Stadium Australia",-26,2015,"Finals",25
14784,2015-09-25,"PF","Fremantle",10,7,67,"Hawthorn",15,4,94,"Subiaco",-27,2015,"Finals",26
14785,2015-09-26,"PF","West Coast",10,20,80,"North Melbourne",7,13,55,"Subiaco",25,2015,"Finals",26
14786,2015-10-03,"GF","West Coast",8,13,61,"Hawthorn",16,11,107,"M.C.G.",-46,2015,"Finals",27
14787,2016-03-24,"R1","Richmond",14,8,92,"Carlton",12,11,83,"M.C.G.",9,2016,"Regular",1
14788,2016-03-26,"R1","Melbourne",12,8,80,"GWS",10,18,78,"M.C.G.",2,2016,"Regular",1
14789,2016-03-26,"R1","Gold Coast",17,19,121,"Essendon",9,6,60,"Carrara",61,2016,"Regular",1
14790,2016-03-26,"R1","North Melbourne",16,11,107,"Adelaide",14,13,97,"Docklands",10,2016,"Regular",1
14791,2016-03-26,"R1","Sydney",18,25,133,"Collingwood",7,11,53,"S.C.G.",80,2016,"Regular",1
14792,2016-03-27,"R1","Footscray",15,13,103,"Fremantle",5,8,38,"Docklands",65,2016,"Regular",1
14793,2016-03-27,"R1","Port Adelaide",20,13,133,"St Kilda",15,10,100,"Adelaide Oval",33,2016,"Regular",1
14794,2016-03-27,"R1","West Coast",26,10,166,"Brisbane Lions",15,12,102,"Subiaco",64,2016,"Regular",1
14795,2016-03-28,"R1","Geelong",18,8,116,"Hawthorn",12,14,86,"M.C.G.",30,2016,"Regular",1
14796,2016-04-01,"R2","Collingwood",13,9,87,"Richmond",12,14,86,"M.C.G.",1,2016,"Regular",2
14797,2016-04-02,"R2","Adelaide",22,12,144,"Port Adelaide",11,20,86,"Adelaide Oval",58,2016,"Regular",2
14798,2016-04-02,"R2","Essendon",11,14,80,"Melbourne",10,7,67,"M.C.G.",13,2016,"Regular",2
14799,2016-04-02,"R2","Brisbane Lions",11,17,83,"North Melbourne",17,15,117,"Gabba",-34,2016,"Regular",2
14800,2016-04-02,"R2","St Kilda",5,6,36,"Footscray",13,15,93,"Docklands",-57,2016,"Regular",2
14801,2016-04-02,"R2","Fremantle",14,16,100,"Gold Coast",19,12,126,"Subiaco",-26,2016,"Regular",2
14802,2016-04-03,"R2","GWS",13,11,89,"Geelong",11,10,76,"Manuka Oval",13,2016,"Regular",2
14803,2016-04-03,"R2","Hawthorn",14,15,99,"West Coast",7,11,53,"M.C.G.",46,2016,"Regular",2
14804,2016-04-03,"R2","Carlton",10,11,71,"Sydney",20,11,131,"Docklands",-60,2016,"Regular",2
14805,2016-04-08,"R3","Port Adelaide",17,10,112,"Essendon",7,9,51,"Adelaide Oval",61,2016,"Regular",3
14806,2016-04-09,"R3","St Kilda",18,11,119,"Collingwood",14,6,90,"M.C.G.",29,2016,"Regular",3
14807,2016-04-09,"R3","Richmond",13,14,92,"Adelaide",19,14,128,"Docklands",-36,2016,"Regular",3
14808,2016-04-09,"R3","Sydney",14,9,93,"GWS",10,8,68,"S.C.G.",25,2016,"Regular",3
14809,2016-04-09,"R3","Gold Coast",13,17,95,"Carlton",5,11,41,"Carrara",54,2016,"Regular",3
14810,2016-04-09,"R3","West Coast",12,20,92,"Fremantle",8,11,59,"Subiaco",33,2016,"Regular",3
14811,2016-04-10,"R3","North Melbourne",21,10,136,"Melbourne",20,11,131,"Bellerive Oval",5,2016,"Regular",3
14812,2016-04-10,"R3","Footscray",13,12,90,"Hawthorn",14,9,93,"Docklands",-3,2016,"Regular",3
14813,2016-04-10,"R3","Geelong",18,17,125,"Brisbane Lions",7,14,56,"Kardinia Park",69,2016,"Regular",3
14814,2016-04-15,"R4","West Coast",18,17,125,"Richmond",9,3,57,"Subiaco",68,2016,"Regular",4
14815,2016-04-16,"R4","Essendon",6,6,42,"Geelong",9,18,72,"M.C.G.",-30,2016,"Regular",4
14816,2016-04-16,"R4","Hawthorn",13,9,87,"St Kilda",13,6,84,"York Park",3,2016,"Regular",4
14817,2016-04-16,"R4","Brisbane Lions",14,23,107,"Gold Coast",14,10,94,"Gabba",13,2016,"Regular",4
