"Game","Date","Round","Home.Team","Home.Goals","Home.Behinds","Home.Points","Away.Team","Away.Goals","Away.Behinds","Away.Points","Venue","Margin","Season","Round.Type","Round.Number"
13960,2012-03-24,"R1","GWS",5,7,37,"Sydney",14,16,100,"Stadium Australia",-63,2012,"Regular",1
13961,2012-03-29,"R1","Richmond",12,9,81,"Carlton",18,17,125,"M.C.G.",-44,2012,"Regular",1
13962,2012-03-30,"R1","Hawthorn",20,17,137,"Collingwood",16,19,115,"M.C.G.",22,2012,"Regular",1
13963,2012-03-31,"R1","Melbourne",11,12,78,"Brisbane Lions",17,17,119,"M.C.G.",-41,2012,"Regular",1
13964,2012-03-31,"R1","Gold Coast",10,8,68,"Adelaide",19,23,137,"Carrara",-69,2012,"Regular",1
13965,2012-03-31,"R1","North Melbourne",15,12,102,"Essendon",14,20,104,"Docklands",-2,2012,"Regular",1
13966,2012-03-31,"R1","Fremantle",16,9,105,"Geelong",15,11,101,"Subiaco",4,2012,"Regular",1
13967,2012-04-01,"R1","Footscray",12,15,87,"West Coast",21,10,136,"Docklands",-49,2012,"Regular",1
13968,2012-04-01,"R1","Port Adelaide",13,11,89,"St Kilda",13,7,85,"Football Park",4,2012,"Regular",1
13969,2012-04-05,"R2","Brisbane Lions",9,9,63,"Carlton",23,16,154,"Gabba",-91,2012,"Regular",2
13970,2012-04-07,"R2","Essendon",16,15,111,"Port Adelaide",13,8,86,"Docklands",25,2012,"Regular",2
13971,2012-04-07,"R2","Sydney",14,10,94,"Fremantle",12,9,81,"S.C.G.",13,2012,"Regular",2
13972,2012-04-07,"R2","West Coast",25,16,166,"Melbourne",9,4,58,"Subiaco",108,2012,"Regular",2
13973,2012-04-07,"R2","Adelaide",11,16,82,"Footscray",9,10,64,"Football Park",18,2012,"Regular",2
13974,2012-04-07,"R2","Collingwood",12,13,85,"Richmond",8,16,64,"M.C.G.",21,2012,"Regular",2
13975,2012-04-08,"R2","North Melbourne",28,15,183,"GWS",8,6,54,"Bellerive Oval",129,2012,"Regular",2
13976,2012-04-08,"R2","St Kilda",21,13,139,"Gold Coast",7,5,47,"Docklands",92,2012,"Regular",2
13977,2012-04-09,"R2","Geelong",14,8,92,"Hawthorn",13,12,90,"M.C.G.",2,2012,"Regular",2
13978,2012-04-13,"R3","Carlton",18,14,122,"Collingwood",9,8,62,"M.C.G.",60,2012,"Regular",3
13979,2012-04-14,"R3","Richmond",20,13,133,"Melbourne",11,8,74,"M.C.G.",59,2012,"Regular",3
13980,2012-04-14,"R3","Port Adelaide",12,11,83,"Sydney",16,9,105,"Football Park",-22,2012,"Regular",3
13981,2012-04-14,"R3","Fremantle",8,16,64,"Brisbane Lions",5,5,35,"Subiaco",29,2012,"Regular",3
13982,2012-04-14,"R3","Gold Coast",13,10,88,"Essendon",15,15,105,"Carrara",-17,2012,"Regular",3
13983,2012-04-14,"R3","Footscray",5,10,40,"St Kilda",15,13,103,"Docklands",-63,2012,"Regular",3
13984,2012-04-15,"R3","GWS",10,9,69,"West Coast",23,12,150,"Blacktown",-81,2012,"Regular",3
13985,2012-04-15,"R3","Hawthorn",21,14,140,"Adelaide",12,12,84,"M.C.G.",56,2012,"Regular",3
13986,2012-04-15,"R3","North Melbourne",20,11,131,"Geelong",16,18,114,"Docklands",17,2012,"Regular",3
13987,2012-04-20,"R4","St Kilda",11,13,79,"Fremantle",14,8,92,"Docklands",-13,2012,"Regular",4
13988,2012-04-21,"R4","Carlton",11,13,79,"Essendon",15,19,109,"M.C.G.",-30,2012,"Regular",4
13989,2012-04-21,"R4","Collingwood",14,13,97,"Port Adelaide",10,13,73,"Docklands",24,2012,"Regular",4
13990,2012-04-21,"R4","Adelaide",13,18,96,"GWS",7,8,50,"Football Park",46,2012,"Regular",4
13991,2012-04-21,"R4","West Coast",5,21,51,"Hawthorn",5,16,46,"Subiaco",5,2012,"Regular",4
13992,2012-04-21,"R4","Brisbane Lions",17,9,111,"Gold Coast",6,10,46,"Gabba",65,2012,"Regular",4
13993,2012-04-22,"R4","Geelong",11,9,75,"Richmond",9,11,65,"Kardinia Park",10,2012,"Regular",4
13994,2012-04-22,"R4","Sydney",17,11,113,"North Melbourne",10,17,77,"S.C.G.",36,2012,"Regular",4
13995,2012-04-22,"R4","Melbourne",9,13,67,"Footscray",13,10,88,"M.C.G.",-21,2012,"Regular",4
13996,2012-04-25,"R5","Collingwood",11,14,80,"Essendon",11,13,79,"M.C.G.",1,2012,"Regular",5
13997,2012-04-27,"R5","Fremantle",7,15,57,"Carlton",10,5,65,"Subiaco",-8,2012,"Regular",5
13998,2012-04-28,"R5","GWS",9,8,62,"Footscray",15,14,104,"Manuka Oval",-42,2012,"Regular",5
13999,2012-04-28,"R5","North Melbourne",17,25,127,"Gold Coast",13,15,93,"Docklands",34,2012,"Regular",5
14000,2012-04-28,"R5","Melbourne",10,6,66,"St Kilda",12,12,84,"M.C.G.",-18,2012,"Regular",5
14001,2012-04-28,"R5","Brisbane Lions",4,17,41,"Geelong",12,7,79,"Gabba",-38,2012,"Regular",5
14002,2012-04-29,"R5","Hawthorn",10,9,69,"Sydney",16,10,106,"York Park",-37,2012,"Regular",5
14003,2012-04-29,"R5","Richmond",14,13,97,"West Coast",16,11,107,"Docklands",-10,2012,"Regular",5
14004,2012-04-29,"R5","Adelaide",16,14,110,"Port Adelaide",14,7,91,"Football Park",19,2012,"Regular",5
14005,2012-05-04,"R6","Footscray",11,11,77,"Collingwood",15,8,98,"Docklands",-21,2012,"Regular",6
14006,2012-05-05,"R6","Essendon",19,15,129,"Brisbane Lions",9,8,62,"Docklands",67,2012,"Regular",6
14007,2012-05-05,"R6","Geelong",17,17,119,"Melbourne",11,10,76,"Kardinia Park",43,2012,"Regular",6
14008,2012-05-05,"R6","Gold Coast",14,3,87,"Fremantle",14,10,94,"Carrara",-7,2012,"Regular",6
14009,2012-05-05,"R6","Sydney",14,10,94,"Adelaide",15,9,99,"S.C.G.",-5,2012,"Regular",6
14010,2012-05-05,"R6","St Kilda",13,10,88,"Hawthorn",18,15,123,"M.C.G.",-35,2012,"Regular",6
14011,2012-05-06,"R6","Carlton",15,20,110,"GWS",6,7,43,"Docklands",67,2012,"Regular",6
14012,2012-05-06,"R6","Port Adelaide",8,6,54,"Richmond",13,13,91,"Football Park",-37,2012,"Regular",6
14013,2012-05-06,"R6","West Coast",17,18,120,"North Melbourne",15,5,95,"Subiaco",25,2012,"Regular",6
14014,2012-05-11,"R7","Melbourne",6,13,49,"Hawthorn",15,25,115,"M.C.G.",-66,2012,"Regular",7
14015,2012-05-12,"R7","Adelaide",19,8,122,"Geelong",10,12,72,"Football Park",50,2012,"Regular",7
14016,2012-05-12,"R7","GWS",13,16,94,"Gold Coast",9,13,67,"Manuka Oval",27,2012,"Regular",7
14017,2012-05-12,"R7","Richmond",13,13,91,"Sydney",8,14,62,"M.C.G.",29,2012,"Regular",7
14018,2012-05-12,"R7","Brisbane Lions",8,10,58,"Collingwood",17,14,116,"Gabba",-58,2012,"Regular",7
14019,2012-05-12,"R7","Essendon",16,17,113,"West Coast",7,10,52,"Docklands",61,2012,"Regular",7
14020,2012-05-13,"R7","North Melbourne",12,11,83,"Footscray",15,11,101,"Docklands",-18,2012,"Regular",7
14021,2012-05-13,"R7","Fremantle",12,15,87,"Port Adelaide",7,5,47,"Subiaco",40,2012,"Regular",7
14022,2012-05-14,"R7","St Kilda",19,8,122,"Carlton",14,14,98,"Docklands",24,2012,"Regular",7
14023,2012-05-18,"R8","Collingwood",14,12,96,"Geelong",11,18,84,"M.C.G.",12,2012,"Regular",8
14024,2012-05-19,"R8","Port Adelaide",14,11,95,"North Melbourne",14,9,93,"Football Park",2,2012,"Regular",8
14025,2012-05-19,"R8","Hawthorn",17,17,119,"Fremantle",9,9,63,"York Park",56,2012,"Regular",8
14026,2012-05-19,"R8","Sydney",21,12,138,"Melbourne",5,7,37,"S.C.G.",101,2012,"Regular",8
14027,2012-05-19,"R8","Footscray",9,18,72,"Gold Coast",4,10,34,"Marrara Oval",38,2012,"Regular",8
14028,2012-05-19,"R8","Essendon",19,14,128,"Richmond",15,19,109,"M.C.G.",19,2012,"Regular",8
14029,2012-05-20,"R8","Brisbane Lions",19,18,132,"GWS",5,10,40,"Gabba",92,2012,"Regular",8
14030,2012-05-20,"R8","Carlton",8,7,55,"Adelaide",19,10,124,"Docklands",-69,2012,"Regular",8
14031,2012-05-20,"R8","West Coast",18,13,121,"St Kilda",13,13,91,"Subiaco",30,2012,"Regular",8
14032,2012-05-25,"R9","Footscray",11,9,75,"Geelong",14,11,95,"Docklands",-20,2012,"Regular",9
14033,2012-05-26,"R9","Richmond",21,11,137,"Hawthorn",10,15,75,"M.C.G.",62,2012,"Regular",9
14034,2012-05-26,"R9","Gold Coast",10,10,70,"Port Adelaide",17,16,118,"Carrara",-48,2012,"Regular",9
14035,2012-05-26,"R9","St Kilda",16,15,111,"Sydney",12,11,83,"Docklands",28,2012,"Regular",9
14036,2012-05-26,"R9","Adelaide",6,13,49,"Collingwood",10,15,75,"Football Park",-26,2012,"Regular",9
14037,2012-05-26,"R9","GWS",7,11,53,"Essendon",18,11,119,"Sydney Showground",-66,2012,"Regular",9
14038,2012-05-27,"R9","North Melbourne",17,10,112,"Brisbane Lions",15,6,96,"Docklands",16,2012,"Regular",9
14039,2012-05-27,"R9","Carlton",15,17,107,"Melbourne",6,13,49,"M.C.G.",58,2012,"Regular",9
14040,2012-05-27,"R9","West Coast",11,18,84,"Fremantle",5,6,36,"Subiaco",48,2012,"Regular",9
14041,2012-06-01,"R10","St Kilda",16,17,113,"Richmond",18,13,121,"Docklands",-8,2012,"Regular",10
14042,2012-06-02,"R10","Geelong",19,12,126,"GWS",9,7,61,"Kardinia Park",65,2012,"Regular",10
14043,2012-06-02,"R10","Hawthorn",27,12,174,"North Melbourne",9,5,59,"York Park",115,2012,"Regular",10
14044,2012-06-02,"R10","Fremantle",12,10,82,"Adelaide",17,9,111,"Subiaco",-29,2012,"Regular",10
14045,2012-06-02,"R10","Port Adelaide",14,15,99,"Carlton",6,9,45,"Football Park",54,2012,"Regular",10
14046,2012-06-02,"R10","Essendon",6,16,52,"Melbourne",8,10,58,"M.C.G.",-6,2012,"Regular",10
14047,2012-06-03,"R10","Brisbane Lions",16,6,102,"West Coast",15,10,100,"Gabba",2,2012,"Regular",10
14048,2012-06-03,"R10","Sydney",20,12,132,"Footscray",5,10,40,"S.C.G.",92,2012,"Regular",10
14049,2012-06-03,"R10","Collingwood",23,11,149,"Gold Coast",7,10,52,"M.C.G.",97,2012,"Regular",10
14050,2012-06-08,"R11","Carlton",11,19,85,"Geelong",14,13,97,"Docklands",-12,2012,"Regular",11
14051,2012-06-09,"R11","Richmond",9,12,66,"Fremantle",12,6,78,"M.C.G.",-12,2012,"Regular",11
14052,2012-06-09,"R11","Gold Coast",7,7,49,"St Kilda",21,18,144,"Carrara",-95,2012,"Regular",11
14053,2012-06-09,"R11","Essendon",11,16,82,"Sydney",13,8,86,"Docklands",-4,2012,"Regular",11
14054,2012-06-10,"R11","Port Adelaide",9,8,62,"Hawthorn",16,12,108,"Football Park",-46,2012,"Regular",11
14055,2012-06-11,"R11","Melbourne",13,9,87,"Collingwood",19,15,129,"M.C.G.",-42,2012,"Regular",11
14056,2012-06-14,"R12","West Coast",10,19,79,"Carlton",10,9,69,"Subiaco",10,2012,"Regular",12
14057,2012-06-15,"R12","Adelaide",17,13,115,"St Kilda",16,15,111,"Football Park",4,2012,"Regular",12
14058,2012-06-16,"R12","GWS",12,2,74,"Richmond",11,20,86,"Sydney Showground",-12,2012,"Regular",12
14059,2012-06-16,"R12","Gold Coast",12,8,80,"North Melbourne",11,21,87,"Carrara",-7,2012,"Regular",12
14060,2012-06-17,"R12","Hawthorn",19,21,135,"Brisbane Lions",11,4,70,"M.C.G.",65,2012,"Regular",12
14061,2012-06-17,"R12","Footscray",13,17,95,"Port Adelaide",8,9,57,"Docklands",38,2012,"Regular",12
14062,2012-06-22,"R13","Sydney",12,8,80,"Geelong",11,8,74,"S.C.G.",6,2012,"Regular",13
14063,2012-06-23,"R13","Footscray",7,14,56,"Brisbane Lions",18,6,114,"Docklands",-58,2012,"Regular",13
14064,2012-06-23,"R13","Collingwood",12,13,85,"West Coast",12,10,82,"M.C.G.",3,2012,"Regular",13
14065,2012-06-23,"R13","Fremantle",14,5,89,"Essendon",17,11,113,"Subiaco",-24,2012,"Regular",13
14066,2012-06-24,"R13","Melbourne",20,15,135,"GWS",9,3,57,"M.C.G.",78,2012,"Regular",13
14067,2012-06-24,"R13","North Melbourne",17,19,121,"Adelaide",13,11,89,"Docklands",32,2012,"Regular",13
14068,2012-06-29,"R14","Carlton",10,10,70,"Hawthorn",18,12,120,"M.C.G.",-50,2012,"Regular",14
14069,2012-06-30,"R14","Collingwood",15,17,107,"Fremantle",12,6,78,"M.C.G.",29,2012,"Regular",14
14070,2012-06-30,"R14","Adelaide",17,4,106,"Richmond",13,9,87,"Football Park",19,2012,"Regular",14
14071,2012-06-30,"R14","West Coast",25,16,166,"Gold Coast",5,10,40,"Subiaco",126,2012,"Regular",14
14072,2012-06-30,"R14","Essendon",21,14,140,"Footscray",8,8,56,"Docklands",84,2012,"Regular",14
14073,2012-06-30,"R14","Sydney",19,18,132,"GWS",5,8,38,"Stadium Australia",94,2012,"Regular",14
14074,2012-07-01,"R14","Geelong",14,15,99,"Port Adelaide",8,13,61,"Kardinia Park",38,2012,"Regular",14
14075,2012-07-01,"R14","Brisbane Lions",18,14,122,"Melbourne",8,13,61,"Gabba",61,2012,"Regular",14
14076,2012-07-01,"R14","St Kilda",15,13,103,"North Melbourne",21,10,136,"Docklands",-33,2012,"Regular",14
14077,2012-07-06,"R15","Collingwood",8,14,62,"Carlton",12,13,85,"M.C.G.",-23,2012,"Regular",15
14078,2012-07-07,"R15","North Melbourne",13,6,84,"West Coast",12,14,86,"Bellerive Oval",-2,2012,"Regular",15
14079,2012-07-07,"R15","Melbourne",11,12,78,"Richmond",13,23,101,"M.C.G.",-23,2012,"Regular",15
14080,2012-07-07,"R15","Sydney",16,14,110,"Brisbane Lions",9,9,63,"S.C.G.",47,2012,"Regular",15
14081,2012-07-07,"R15","Port Adelaide",8,10,58,"Adelaide",17,14,116,"Football Park",-58,2012,"Regular",15
14082,2012-07-07,"R15","St Kilda",21,7,133,"Essendon",8,14,62,"Docklands",71,2012,"Regular",15
14083,2012-07-08,"R15","Hawthorn",28,25,193,"GWS",4,7,31,"M.C.G.",162,2012,"Regular",15
14084,2012-07-08,"R15","Gold Coast",13,18,96,"Geelong",15,20,110,"Carrara",-14,2012,"Regular",15
14085,2012-07-08,"R15","Fremantle",14,11,95,"Footscray",8,9,57,"Subiaco",38,2012,"Regular",15
14086,2012-07-13,"R16","North Melbourne",24,5,149,"Carlton",14,12,96,"Docklands",53,2012,"Regular",16
14087,2012-07-14,"R16","Melbourne",12,11,83,"Fremantle",18,9,117,"Docklands",-34,2012,"Regular",16
14088,2012-07-14,"R16","Port Adelaide",11,11,77,"Essendon",19,13,127,"Football Park",-50,2012,"Regular",16
14089,2012-07-14,"R16","Richmond",13,10,88,"Gold Coast",13,12,90,"Cazaly's Stadium",-2,2012,"Regular",16
14090,2012-07-14,"R16","Geelong",10,19,79,"Collingwood",17,8,110,"M.C.G.",-31,2012,"Regular",16
14091,2012-07-14,"R16","Brisbane Lions",14,8,92,"St Kilda",16,9,105,"Gabba",-13,2012,"Regular",16
14092,2012-07-15,"R16","GWS",8,11,59,"Adelaide",27,16,178,"Sydney Showground",-119,2012,"Regular",16
14093,2012-07-15,"R16","Footscray",6,8,44,"Hawthorn",17,14,116,"Docklands",-72,2012,"Regular",16
14094,2012-07-15,"R16","West Coast",10,9,69,"Sydney",18,13,121,"Subiaco",-52,2012,"Regular",16
14095,2012-07-20,"R17","Geelong",20,14,134,"Essendon",10,7,67,"Docklands",67,2012,"Regular",17
14096,2012-07-21,"R17","Collingwood",13,13,91,"Hawthorn",21,12,138,"M.C.G.",-47,2012,"Regular",17
14097,2012-07-21,"R17","Adelaide",19,10,124,"West Coast",11,9,75,"Football Park",49,2012,"Regular",17
14098,2012-07-21,"R17","Gold Coast",5,18,48,"Brisbane Lions",8,11,59,"Carrara",-11,2012,"Regular",17
14099,2012-07-21,"R17","Footscray",12,12,84,"Carlton",16,6,102,"Docklands",-18,2012,"Regular",17
14100,2012-07-21,"R17","Melbourne",8,8,56,"Port Adelaide",12,12,84,"Marrara Oval",-28,2012,"Regular",17
14101,2012-07-22,"R17","Sydney",15,15,105,"St Kilda",10,16,76,"S.C.G.",29,2012,"Regular",17
14102,2012-07-22,"R17","Richmond",14,15,99,"North Melbourne",15,13,103,"M.C.G.",-4,2012,"Regular",17
14103,2012-07-22,"R17","Fremantle",18,24,132,"GWS",5,7,37,"Subiaco",95,2012,"Regular",17
14104,2012-07-27,"R18","Essendon",12,14,86,"Hawthorn",27,18,180,"Docklands",-94,2012,"Regular",18
14105,2012-07-28,"R18","Geelong",15,12,102,"Adelaide",11,9,75,"Kardinia Park",27,2012,"Regular",18
14106,2012-07-28,"R18","North Melbourne",19,13,127,"Melbourne",11,7,73,"Docklands",54,2012,"Regular",18
14107,2012-07-28,"R18","GWS",7,12,54,"Collingwood",26,18,174,"Sydney Showground",-120,2012,"Regular",18
14108,2012-07-28,"R18","Carlton",14,11,95,"Richmond",13,13,91,"M.C.G.",4,2012,"Regular",18
14109,2012-07-28,"R18","Gold Coast",8,6,54,"Sydney",19,12,126,"Carrara",-72,2012,"Regular",18
14110,2012-07-29,"R18","Port Adelaide",6,12,48,"Fremantle",11,9,75,"Football Park",-27,2012,"Regular",18
14111,2012-07-29,"R18","St Kilda",16,22,118,"Footscray",6,6,42,"Docklands",76,2012,"Regular",18
14112,2012-07-29,"R18","West Coast",28,7,175,"Brisbane Lions",12,5,77,"Subiaco",98,2012,"Regular",18
14113,2012-08-03,"R19","Hawthorn",17,14,116,"Geelong",18,10,118,"M.C.G.",-2,2012,"Regular",19
14114,2012-08-04,"R19","Footscray",8,13,61,"North Melbourne",18,7,115,"Docklands",-54,2012,"Regular",19
14115,2012-08-04,"R19","GWS",16,11,107,"Port Adelaide",10,13,73,"Sydney Showground",34,2012,"Regular",19
14116,2012-08-04,"R19","Fremantle",17,11,113,"West Coast",6,12,48,"Subiaco",65,2012,"Regular",19
14117,2012-08-04,"R19","Collingwood",12,19,91,"St Kilda",13,7,85,"M.C.G.",6,2012,"Regular",19
14118,2012-08-04,"R19","Brisbane Lions",12,12,84,"Richmond",20,12,132,"Gabba",-48,2012,"Regular",19
14119,2012-08-05,"R19","Melbourne",16,12,108,"Gold Coast",9,12,66,"M.C.G.",42,2012,"Regular",19
14120,2012-08-05,"R19","Carlton",10,11,71,"Sydney",14,9,93,"Docklands",-22,2012,"Regular",19
14121,2012-08-05,"R19","Adelaide",16,8,104,"Essendon",15,10,100,"Football Park",4,2012,"Regular",19
14122,2012-08-10,"R20","West Coast",16,6,102,"Geelong",15,7,97,"Subiaco",5,2012,"Regular",20
14123,2012-08-11,"R20","St Kilda",16,11,107,"Melbourne",12,10,82,"M.C.G.",25,2012,"Regular",20
14124,2012-08-11,"R20","Adelaide",17,17,119,"Fremantle",14,7,91,"Football Park",28,2012,"Regular",20
14125,2012-08-11,"R20","Gold Coast",16,13,109,"GWS",12,7,79,"Carrara",30,2012,"Regular",20
14126,2012-08-11,"R20","Carlton",17,11,113,"Brisbane Lions",10,17,77,"Docklands",36,2012,"Regular",20
14127,2012-08-11,"R20","Sydney",9,16,70,"Collingwood",12,6,78,"Stadium Australia",-8,2012,"Regular",20
14128,2012-08-12,"R20","Hawthorn",24,15,159,"Port Adelaide",13,9,87,"York Park",72,2012,"Regular",20
14129,2012-08-12,"R20","Richmond",22,18,150,"Footscray",12,8,80,"M.C.G.",70,2012,"Regular",20
14130,2012-08-12,"R20","Essendon",11,10,76,"North Melbourne",15,10,100,"Docklands",-24,2012,"Regular",20
14131,2012-08-17,"R21","Geelong",18,15,123,"St Kilda",11,15,81,"Docklands",42,2012,"Regular",21
14132,2012-08-18,"R21","Essendon",8,12,60,"Carlton",24,12,156,"M.C.G.",-96,2012,"Regular",21
14133,2012-08-18,"R21","GWS",9,5,59,"Melbourne",11,18,84,"Manuka Oval",-25,2012,"Regular",21
14134,2012-08-18,"R21","Fremantle",13,16,94,"Richmond",11,6,72,"Subiaco",22,2012,"Regular",21
14135,2012-08-18,"R21","Brisbane Lions",13,17,95,"Adelaide",12,13,85,"Gabba",10,2012,"Regular",21
14136,2012-08-18,"R21","Collingwood",8,13,61,"North Melbourne",13,13,91,"Docklands",-30,2012,"Regular",21
14137,2012-08-19,"R21","Port Adelaide",6,14,50,"West Coast",14,14,98,"Football Park",-48,2012,"Regular",21
14138,2012-08-19,"R21","Footscray",13,7,85,"Sydney",26,11,167,"Docklands",-82,2012,"Regular",21
14139,2012-08-19,"R21","Hawthorn",19,15,129,"Gold Coast",10,5,65,"M.C.G.",64,2012,"Regular",21
14140,2012-08-24,"R22","Richmond",13,24,102,"Essendon",8,9,57,"M.C.G.",45,2012,"Regular",22
14141,2012-08-25,"R22","St Kilda",25,13,163,"GWS",5,5,35,"Docklands",128,2012,"Regular",22
14142,2012-08-25,"R22","Port Adelaide",14,9,93,"Brisbane Lions",16,8,104,"Football Park",-11,2012,"Regular",22
14143,2012-08-25,"R22","Sydney",14,11,95,"Hawthorn",15,12,102,"S.C.G.",-7,2012,"Regular",22
14144,2012-08-25,"R22","Gold Coast",15,8,98,"Carlton",11,20,86,"Carrara",12,2012,"Regular",22
14145,2012-08-25,"R22","West Coast",15,17,107,"Collingwood",8,10,58,"Subiaco",49,2012,"Regular",22
14146,2012-08-26,"R22","Geelong",16,11,107,"Footscray",11,7,73,"Kardinia Park",34,2012,"Regular",22
14147,2012-08-26,"R22","North Melbourne",12,7,79,"Fremantle",20,12,132,"Docklands",-53,2012,"Regular",22
14148,2012-08-26,"R22","Melbourne",11,15,81,"Adelaide",22,18,150,"M.C.G.",-69,2012,"Regular",22
14149,2012-08-31,"R23","Hawthorn",14,11,95,"West Coast",10,10,70,"M.C.G.",25,2012,"Regular",23
14150,2012-09-01,"R23","Geelong",17,10,112,"Sydney",11,12,78,"Kardinia Park",34,2012,"Regular",23
14151,2012-09-01,"R23","Adelaide",22,21,153,"Gold Coast",9,8,62,"Football Park",91,2012,"Regular",23
14152,2012-09-01,"R23","GWS",11,11,77,"North Melbourne",16,9,105,"Sydney Showground",-28,2012,"Regular",23
14153,2012-09-01,"R23","Essendon",10,12,72,"Collingwood",14,20,104,"M.C.G.",-32,2012,"Regular",23
14154,2012-09-01,"R23","Fremantle",14,17,101,"Melbourne",5,10,40,"Subiaco",61,2012,"Regular",23
14155,2012-09-02,"R23","Carlton",12,19,91,"St Kilda",16,10,106,"Docklands",-15,2012,"Regular",23
14156,2012-09-02,"R23","Richmond",16,10,106,"Port Adelaide",16,10,106,"M.C.G.",0,2012,"Regular",23
14157,2012-09-02,"R23","Brisbane Lions",19,14,128,"Footscray",9,7,61,"Gabba",67,2012,"Regular",23
14158,2012-09-07,"QF","Hawthorn",20,15,135,"Collingwood",15,7,97,"M.C.G.",38,2012,"Finals",24
14159,2012-09-08,"QF","Adelaide",5,12,42,"Sydney",11,5,71,"Football Park",-29,2012,"Finals",24
14160,2012-09-08,"EF","Geelong",11,14,80,"Fremantle",14,12,96,"M.C.G.",-16,2012,"Finals",24
14161,2012-09-09,"EF","West Coast",24,18,162,"North Melbourne",9,12,66,"Subiaco",96,2012,"Finals",24
14162,2012-09-14,"SF","Adelaide",12,9,81,"Fremantle",11,5,71,"Football Park",10,2012,"Finals",25
14163,2012-09-15,"SF","Collingwood",10,13,73,"West Coast",9,6,60,"M.C.G.",13,2012,"Finals",25
14164,2012-09-21,"PF","Sydney",13,18,96,"Collingwood",10,10,70,"Stadium Australia",26,2012,"Finals",26
14165,2012-09-22,"PF","Hawthorn",13,19,97,"Adelaide",14,8,92,"M.C.G.",5,2012,"Finals",26
14166,2012-09-29,"GF","Hawthorn",11,15,81,"Sydney",14,7,91,"M.C.G.",-10,2012,"Finals",27
14167,2013-03-22,"R1","Adelaide",11,16,82,"Essendon",18,9,117,"Football Park",-35,2013,"Regular",1
14168,2013-03-23,"R1","Fremantle",16,12,108,"West Coast",11,14,80,"Subiaco",28,2013,"Regular",1
14169,2013-03-28,"R1","Carlton",14,17,101,"Richmond",14,22,106,"M.C.G.",-5,2013,"Regular",1
14170,2013-03-30,"R1","Footscray",19,13,127,"Brisbane Lions",7,17,59,"Docklands",68,2013,"Regular",1
14171,2013-03-30,"R1","GWS",11,10,76,"Sydney",16,10,106,"Stadium Australia",-30,2013,"Regular",1
14172,2013-03-30,"R1","Gold Coast",13,12,90,"St Kilda",10,17,77,"Carrara",13,2013,"Regular",1
14173,2013-03-31,"R1","Melbourne",8,6,54,"Port Adelaide",19,19,133,"M.C.G.",-79,2013,"Regular",1
14174,2013-03-31,"R1","North Melbourne",13,9,87,"Collingwood",15,13,103,"Docklands",-16,2013,"Regular",1
14175,2013-04-01,"R1","Hawthorn",12,14,86,"Geelong",13,15,93,"M.C.G.",-7,2013,"Regular",1
14176,2013-04-05,"R2","St Kilda",12,10,82,"Richmond",14,15,99,"M.C.G.",-17,2013,"Regular",2
14177,2013-04-06,"R2","Sydney",17,12,114,"Gold Coast",11,7,73,"S.C.G.",41,2013,"Regular",2
14178,2013-04-06,"R2","Footscray",11,12,78,"Fremantle",16,10,106,"Docklands",-28,2013,"Regular",2
14179,2013-04-06,"R2","Brisbane Lions",10,17,77,"Adelaide",14,12,96,"Gabba",-19,2013,"Regular",2
14180,2013-04-06,"R2","Essendon",28,16,184,"Melbourne",5,6,36,"M.C.G.",148,2013,"Regular",2
14181,2013-04-06,"R2","Port Adelaide",19,20,134,"GWS",11,12,78,"Football Park",56,2013,"Regular",2
14182,2013-04-07,"R2","Geelong",16,16,112,"North Melbourne",17,6,108,"Docklands",4,2013,"Regular",2
14183,2013-04-07,"R2","Collingwood",17,15,117,"Carlton",15,10,100,"M.C.G.",17,2013,"Regular",2
14184,2013-04-07,"R2","West Coast",15,8,98,"Hawthorn",23,10,148,"Subiaco",-50,2013,"Regular",2
14185,2013-04-12,"R3","Fremantle",9,14,68,"Essendon",10,12,72,"Subiaco",-4,2013,"Regular",3
14186,2013-04-13,"R3","North Melbourne",13,14,92,"Sydney",20,11,131,"Bellerive Oval",-39,2013,"Regular",3
14187,2013-04-13,"R3","Melbourne",13,5,83,"West Coast",27,15,177,"M.C.G.",-94,2013,"Regular",3
14188,2013-04-13,"R3","GWS",10,8,68,"St Kilda",21,14,140,"Manuka Oval",-72,2013,"Regular",3
14189,2013-04-13,"R3","Geelong",18,11,119,"Carlton",15,13,103,"Docklands",16,2013,"Regular",3
14190,2013-04-13,"R3","Gold Coast",13,14,92,"Brisbane Lions",13,16,94,"Carrara",-2,2013,"Regular",3
14191,2013-04-14,"R3","Richmond",20,15,135,"Footscray",10,8,68,"Docklands",67,2013,"Regular",3
14192,2013-04-14,"R3","Collingwood",13,12,90,"Hawthorn",22,13,145,"M.C.G.",-55,2013,"Regular",3
14193,2013-04-14,"R3","Port Adelaide",17,16,118,"Adelaide",16,13,109,"Football Park",9,2013,"Regular",3
14194,2013-04-19,"R4","Sydney",16,7,103,"Geelong",19,10,124,"S.C.G.",-21,2013,"Regular",4
14195,2013-04-20,"R4","Hawthorn",18,10,118,"Fremantle",11,10,76,"York Park",42,2013,"Regular",4
14196,2013-04-20,"R4","Richmond",11,13,79,"Collingwood",16,17,113,"M.C.G.",-34,2013,"Regular",4
14197,2013-04-20,"R4","St Kilda",13,13,91,"Essendon",19,14,128,"Docklands",-37,2013,"Regular",4
